elevasi,slope,aspect,twi,curah_hujan,ndvi,jarak_sungai_km,label_longsor
1476.0,26.64845466613769,180.0,14.06357837582413,3432.445443501929,0.127499982714653,1.3105531603875051,1
549.0,27.396015167236328,358.2065734863281,15.235312544390894,2793.991859635897,0.415768563747406,0.7727119562961721,1
1217.0,14.948647499084473,14.047616958618164,14.28914984543934,2934.501925094542,0.3962346017360687,0.2465659359600773,1
754.0,19.63799095153809,92.60013580322266,13.30594626435672,3509.8293661700563,0.8633269667625427,0.7960911093084844,1
246.0,10.26162815093994,153.40061950683594,15.593934540321603,2923.9321753775703,0.7313527464866638,0.5167471873242832,1
359.0,24.641695022583008,121.96082305908205,13.054777464122756,2993.252502464317,0.8518334031105042,0.5337793638431854,1
74.0,11.18409538269043,124.96768951416016,15.505811207484866,3917.277162096912,0.8359091877937317,1.3686881363355108,1
309.0,24.64557266235352,137.81178283691406,14.66403680524531,2869.3698498131707,0.8432087302207947,0.5523970842891928,1
1081.0,26.75601577758789,185.5368194580078,13.653436764901247,3026.468370249029,0.5423521995544434,0.4859024837391344,1
1313.0,16.76552963256836,53.76729202270508,13.475230869253773,3442.0959183013338,0.7673540711402893,0.6140201639558265,1
1134.0,13.04970359802246,347.8954467773437,14.836023955730854,3555.1889985110697,0.8511216640472412,0.6441629877711388,1
841.0,41.75486373901367,4.16646671295166,12.388973766336555,3052.120742929727,0.7855563759803772,0.2890423075288149,1
1979.0,10.260319709777832,206.58447265625,13.984626912033647,3430.1681424609387,0.7151434421539307,1.4966006562370202,1
2194.0,23.035051345825195,252.2677154541016,13.13065681573479,2778.9144109072163,0.7866021990776062,0.6486962866533709,1
327.0,18.447832107543945,119.03012084960938,15.319227251375342,3811.7459335911662,0.49295774102211,0.5823694608063941,1
947.0,21.9125919342041,40.12742614746094,15.13203896068135,3400.657776481251,0.6621614694595337,0.9919258002313688,1
249.0,14.948715209960938,194.04869079589844,13.595997923048264,3559.228647259297,0.8616369962692261,0.6586529222253579,1
1064.0,29.237380981445312,292.0838928222656,12.855741238658643,3423.8076587022283,0.4363215267658233,0.9076446966899748,1
1461.0,11.149256706237791,279.4549255371094,14.59272078420138,3442.0959183013338,0.7724810242652893,1.418786045413254,1
986.0,25.88127517700196,205.7288055419922,14.608147730385353,3295.957683063298,0.7350199818611145,0.5130889351978334,1
1984.0,14.632293701171877,209.7688751220703,13.618373123168915,3150.235199677013,0.6896012425422668,1.687247803474552,1
431.0,28.948888778686523,264.9632263183594,13.5607391502324,3795.6016893879887,0.778121292591095,0.7544498741762359,1
1120.0,11.039454460144045,94.759521484375,15.519160508983202,3637.541019236206,0.754371702671051,1.2604932581134305,1
2071.0,30.84629440307617,40.62812805175781,14.177226089756822,2911.7622153226284,0.8273267149925232,0.7192474184373687,1
2165.0,27.938989639282227,31.27916145324707,12.90968291501366,2434.009862651676,0.8228775262832642,1.890091821086603,1
2357.0,21.3150634765625,274.7595520019531,14.826022186145176,3203.9755680586445,0.8210839033126831,0.9044895692085604,1
180.0,15.638282775878906,99.9906005859375,14.93498061453754,2869.3698498131707,0.7518817782402039,1.26035283655494,1
584.0,12.964451789855955,140.66700744628906,15.941421255869413,3021.515350826457,0.7795717716217041,0.7618376581806229,1
1219.0,25.91527557373047,358.0887451171875,14.383493860671802,3400.962968505034,0.8117936253547668,0.9735234500076788,1
630.0,28.43045234680176,321.0246887207031,14.498516520354237,3026.468370249029,0.8704485893249512,0.2540121924238205,1
653.0,24.252281188964844,127.65018463134766,13.765965088463664,2992.3595017882994,0.8642779588699341,1.1491773706220016,1
720.0,18.9999942779541,131.16107177734375,14.727910504324868,3612.0596447966295,0.8088235259056091,1.3431814913168625,1
1863.0,10.693252563476562,149.01107788085938,13.94236227545606,3112.762574824004,0.785977840423584,0.8485860666785673,1
487.0,25.241634368896484,164.0303192138672,13.027391783461322,2924.809562935773,0.8645200729370117,0.432786530116286,1
894.0,19.30506896972656,146.2855682373047,16.157648951454423,3400.657776481251,0.6300949454307556,0.1775661272583658,1
245.0,13.53769874572754,42.30672454833984,13.69934749586057,3797.422751183435,0.803032398223877,0.4060239914836029,1
2383.0,11.323111534118652,14.044904708862305,13.883696586820724,2472.0772079583257,0.7654694318771362,2.129254160671874,1
80.0,20.09218978881836,102.7835922241211,13.28114049669952,3077.5328600284643,0.4105601608753204,0.632293561200275,1
866.0,21.57130241394043,144.97592163085938,13.20344112367597,3610.2435976382335,0.7312886714935303,1.3362011147977677,1
140.0,24.642690658569336,121.9591827392578,15.8879449556165,2869.3698498131707,0.6562073826789856,0.4077386465407469,1
1189.0,33.0927619934082,153.40567016601562,12.703606944107776,3397.944805393182,0.4642166197299957,1.6575107219427168,1
592.0,40.068115234375,64.95075225830078,12.448466091897211,2992.3595017882994,0.8280773758888245,0.8786583346667856,1
1791.0,21.57486724853516,235.030990600586,14.301871451340682,3023.7792935684324,0.8248193264007568,1.2655049212700369,1
950.0,32.5217170715332,117.19320678710938,14.804934691146729,3420.1139602736102,0.8555678129196167,0.5338151706961903,1
196.0,11.653209686279297,225.05604553222656,14.952788311103404,2899.1504936734214,0.7549784183502197,1.21693435345843,1
