NAME_2,NAME_3,elevasi,slope,aspect,twi,curah_hujan,ndvi,flood_pct,label_banjir,jarak_sungai_km
Luwu,Bajo,99.62587079204206,9.909443580426876,150.09617521906873,15.568533244355953,3017.1734612449472,0.604637512132872,10.2768,1,1.013830589060744
Luwu,Bajo Barat,320.342450212966,18.34648794140101,168.36840404615106,14.72894169295295,3048.0083662577053,0.7072451299614178,1.0163,0,1.0718505411306318
Luwu,Bassesangtempe,821.4759381344568,22.621155428851655,172.6787683827782,14.3951543247166,2972.382703167013,0.6623110573803754,0.0622,0,1.3621949905837965
Luwu,Belopa,29.7301587024673,5.360079473242868,161.65165826538436,16.067228732460645,2944.1015598877166,0.4757202811356327,23.8953,1,1.5911250825202528
Luwu,Belopa Utara,13.450292238575477,3.99230817270382,160.72077765240434,16.331212105080894,3005.8179020989205,0.36508116185713024,37.5194,1,0.6793676517727596
Luwu,Bua,334.0264193176511,14.553525119199051,155.61241781561904,15.08286059618905,3060.7564543029116,0.5986466669012036,4.2124,0,1.2580128657455203
Luwu,Bupon,232.28590635925656,14.209974115009336,157.35186756604986,15.341068119633853,3122.327251613104,0.6745078292581421,1.0435,0,0.03919875067773293
Luwu,Kamanre,15.477400104119633,3.1783891656316166,160.1061012520456,16.709497695543956,3078.375200902311,0.4380578473918548,27.9187,1,0.6198080423047295
Luwu,Lamasi,27.964983327634723,4.552568773012724,163.89102139565423,16.62698911852178,3824.587781216301,0.5768903401837455,4.5761,0,1.1775356466231972
Luwu,Lamasi Timur,11.785459127754208,3.1699652243590224,157.01451299399446,16.87756318007665,3661.6636595550667,0.5127154238128976,26.7777,1,1.4464396646206434
Luwu,Larompong,425.44859824308793,16.3134382424951,156.06988289039742,14.769084474626034,2844.970785136631,0.5932891710833965,2.9832,0,0.1633471898806179
Luwu,Larompong Selatan,116.65604607248027,12.604083490246115,167.13209136911297,15.22623707827497,2854.9635851111243,0.65647380685652,7.055,1,1.715459154358634
Luwu,Latimojong,1352.6864512192135,24.65924616201652,151.33610898775268,14.202115761987443,2769.4885014671463,0.5358420485420579,0.0363,0,1.8640784614965777
Luwu,Ponrang,173.46330592624238,9.572018898715635,158.50366581562346,15.569754978005129,3060.166431557631,0.4683329912477917,24.1856,1,0.6230754301996149
Luwu,Ponrang Selatan,15.470029214159407,3.8983237141069593,162.92950728509499,16.430595709699748,3098.8470378109873,0.41569299158672457,28.0779,1,0.43681671826593815
Luwu,Suli,77.40245887694671,9.616325039349853,164.68334564179818,15.786801840991464,2858.4550453148913,0.5693008284698509,18.1657,1,1.4002581936281058
