longitude,latitude
120.31722501343906,-3.607314660714604
120.20855231060948,-3.324201180514243
120.0038795255978,-2.7215602312441294
120.31133216405688,-3.429198763343724
120.01194474087596,-2.900941093392781
120.1023864210809,-3.244203255863348
120.23591679202724,-3.3877424690041877
120.10130381010002,-3.258446129003105
120.06883417529475,-3.333313056030772
120.0182767910644,-2.742336043395308
120.12116889098702,-3.344568167227084
120.03871831693124,-3.1606997462587123
120.043749849113,-2.795584880454953
119.96697273210364,-2.822747764320769
120.13675607530648,-3.247505191893037
120.24328213134112,-3.583025791155041
120.05468697455656,-2.8983771109921506
120.11185159565048,-3.363631516440278
120.08048931586043,-3.2856942325681637
120.25085610628406,-3.4137605381070597
120.2711968232304,-3.4155446995674192
119.90449562824216,-2.764496410511297
120.34127799660811,-3.3201607408046034
120.10574580136335,-3.269655696178974
120.02949063470416,-3.1910339717431686
120.17182402987692,-3.3702927185179803
120.05448596383523,-3.0796807998359457
119.99656951200178,-3.2496914931616048
120.0151201844116,-2.895021331250209
120.08378921133544,-3.229520398085152
120.10641530334652,-3.3273064393214398
120.25359917387492,-3.3109793597851414
120.34369027274478,-3.3565040441654226
120.11972000273153,-3.407920005354108
120.29094973755726,-3.4361853813186984
120.27962974127264,-3.431841450128045
120.18118405028731,-3.1475936643738684
120.11022508965704,-2.698343248092202
120.2649966278468,-3.411436818078299
120.09768782008744,-2.9173685153601374
120.09947672792116,-2.677982383030338
120.32479913877644,-3.5827590390162425
120.06975760098416,-3.2016878202761023
120.2150639929512,-3.134737080047976
120.13232912202172,-3.102185692402428
120.196313191689,-3.134602744601276
120.1176547567464,-3.133426982823573
120.07231457542728,-3.1348223671501825
120.24997841980009,-2.4274923418517846
120.20223180696856,-2.355291908151566
119.89431378642789,-2.306705247958829
120.1947628501174,-2.3684963193881474
120.30570977585668,-2.4465734716005096
120.00639308406689,-2.518623008366984
120.4859791543659,-2.5217280558853647
120.12017987553854,-2.211493550190815
120.24744655277728,-2.458812797542514
119.93575707877238,-2.504439696099981
119.94755977489898,-2.49540071097168
120.10516892517266,-2.413141765624886
119.89612708543764,-2.494185831133134
120.0486102743294,-2.400252918367442
119.65184315492218,-2.2703071219238424
120.01498716897348,-2.0776355546514678
120.54147546281273,-2.5357749694983776
120.0982594417949,-2.0531534173861403
120.03040002550333,-2.686170263301024
119.88724974518708,-2.555685872410148
120.05957682814818,-1.996221277683232
119.947588553567,-2.525335505021348
120.21163092820944,-2.570774386233356
120.28072288594429,-2.4056203595524384
120.2937167277626,-2.3805582910114618
120.22121065699396,-2.4831972891105702
120.08255839378567,-2.194006577305052
119.90429814363,-2.352769485367447
120.07519023658648,-2.5403242056785458
120.02893949999618,-2.662798730994556
119.98897796452842,-1.9995387607245687
120.3545022984554,-2.4618209701801823
119.9427970618366,-2.4893200206578348
119.80288972304284,-2.6068005173188014
120.40373010078856,-2.3501788014784437
121.1637131675055,-2.7720477566279644
121.05023533662975,-2.3417657615369247
121.60459956837134,-2.866267754711544
120.8065811971438,-2.2530483017593306
120.83165877193002,-2.279749710283627
121.2916024415632,-2.646480604824405
121.2989762354388,-2.6605823052913804
120.68202041085192,-2.3578967610608355
120.8750597748482,-2.30775544330519
120.72847713944984,-2.276190655576996
121.1715949881766,-2.389469618116718
121.71191180480744,-2.7676149413661744
120.69193776673563,-2.476530809996905
121.43629167048611,-2.983827977530068
121.48876560227212,-2.5703184402374366
121.1419593772991,-2.370263617195921
121.70693705239424,-2.777074134313275
120.63835608792414,-2.615348652110166
120.6596679567156,-2.357765771049708
120.60653778373128,-2.49228478157419
121.74492925017452,-2.693942823669474
120.91340351749996,-2.435936106808233
121.11662105206982,-2.774690591309481
120.71269877633765,-2.324364714290206
121.11973252392728,-2.348815092121373
120.56403802690258,-2.377310062121444
121.060706429137,-2.3972012585413425
120.62309084246658,-2.167754926187042
121.15049302883692,-2.7256050974898614
120.83320388384172,-2.28447097849537
121.0874,-2.7571
120.43750981611197,-1.9824836826920313
121.21150980556385,-2.6040064089387194
120.9281652111038,-2.411139496278644
120.61437601412783,-2.2754039772178856
120.0612243402802,-2.757014506629982
120.29050423645475,-3.49470598194302
120.18840636602896,-2.493828135043494
119.93299587348798,-2.246782854684552
121.15648545922595,-2.373389038222689
121.49451607975733,-2.5594137172357336
121.20612611825055,-2.5351526116308234
119.88718780923615,-2.404593306930128
121.27392594203904,-2.6699737537698947
121.29634470194341,-2.789359235872128
120.51576275574266,-2.3281439852167907
120.2579560119347,-3.3821835557961055
120.75030300575227,-2.4205972099142676
120.4138543173646,-1.9451971395906762
120.24808665936895,-3.6025927556147685
121.08131856908003,-2.315863916908366
120.14241564199133,-2.377486711259544
