longitude,latitude,NAME_2,NAME_3,elevasi_m,slope_derajat,source
120.31722501343906,-3.6073146607146036,Luwu,Larompong Selatan,324,19.899879455566406,S2_scar
120.20855231060949,-3.324201180514243,Luwu,Bupon,233,19.189172744750977,S2_scar
120.0038795255978,-2.7215602312441294,Luwu,Walenrang Barat,1920,18.45599937438965,S2_scar
120.31133216405688,-3.429198763343724,Luwu,Suli,130,18.483901977539062,S2_scar
120.01194474087596,-2.9009410933927815,Luwu,Walenrang Barat,1161,23.693140029907227,S2_scar
120.1023864210809,-3.244203255863348,Luwu,Bassesangtempe,487,25.241634368896484,S2_scar
120.23591679202725,-3.3877424690041873,Luwu,Bajo Barat,181,17.903181076049805,S2_scar
120.10130381010002,-3.258446129003105,Luwu,Bassesangtempe,368,24.038230895996094,S2_scar
120.06883417529475,-3.333313056030772,Luwu,Latimojong,1714,20.888427734375,S2_scar
120.0182767910644,-2.742336043395308,Luwu,Walenrang Barat,1476,26.648454666137695,S2_scar
120.12116889098702,-3.344568167227084,Luwu,Latimojong,630,28.430452346801758,S2_scar
120.03871831693124,-3.1606997462587123,Luwu,Bassesangtempe,548,17.72565460205078,S2_scar
120.043749849113,-2.7955848804549532,Luwu,Walenrang Barat,866,21.57130241394043,S2_scar
119.96697273210364,-2.822747764320769,Luwu,Walenrang Barat,1366,17.195661544799805,S2_scar
120.13675607530648,-3.247505191893037,Luwu,Bassesangtempe,720,20.09107208251953,S2_scar
120.24328213134113,-3.583025791155041,Luwu,Larompong,549,27.396015167236328,S2_scar
120.05468697455655,-2.8983771109921506,Luwu,Walenrang Barat,1064,29.237380981445312,S2_scar
120.11185159565049,-3.363631516440278,Luwu,Latimojong,1056,30.513973236083984,S2_scar
120.08048931586043,-3.2856942325681633,Luwu,Latimojong,841,41.75486373901367,S2_scar
120.25085610628406,-3.4137605381070593,Luwu,Suli Barat,309,24.645572662353516,S2_scar
120.2711968232304,-3.4155446995674192,Luwu,Suli Barat,289,25.95526885986328,S2_scar
119.90449562824216,-2.764496410511297,Luwu,Walenrang Barat,1692,26.505796432495117,S2_scar
120.34127799660811,-3.3201607408046034,Luwu,Kamanre,63,21.37079620361328,S2_scar
120.10574580136335,-3.269655696178974,Luwu,Bassesangtempe,487,27.343124389648438,S2_scar
120.02949063470417,-3.1910339717431686,Luwu,Bassesangtempe,584,12.964451789855957,S2_scar
120.17182402987693,-3.3702927185179803,Luwu,Latimojong,359,24.641695022583008,S2_scar
120.05448596383525,-3.0796807998359457,Luwu,Bassesangtempe,837,12.818452835083008,S2_scar
119.99656951200178,-3.2496914931616048,Luwu,Bassesangtempe,2022,50.532867431640625,S2_scar
