longitude,latitude,NAME_2,NAME_3,elevasi,slope,aspect,twi,curah_hujan,ndvi,jarak_sungai_km,elevasi_rendah,lereng_curam,vegetasi_jarang,label_longsor,source
120.01834630182896,-2.7423777200896353,,,1476,26.648454666137695,180.0,14.06357837582413,3432.445443501929,0.12749998271465302,1.3105531603875051,0,0,1,1,
120.23232500250623,-3.088139272947245,,,22,0.9287583231925964,270.0,16.397500202266297,3204.853775365185,0.48011383414268494,0.298069654433434,1,0,1,0,pseudo_absence
120.24337428050086,-3.582931331440278,,,549,27.396015167236328,358.2065734863281,15.235312544390894,2793.991859635897,0.415768563747406,0.7727119562961721,0,1,1,1,
120.25388456932507,-2.9339883701923313,,,0,0.0,0.0,21.668116036942607,3463.1804418634624,0.25236448645591736,0.07356045297630534,1,0,1,0,pseudo_absence
120.21885027324441,-2.8369703195074223,,,15,2.9307851791381836,198.45603942871094,15.247538003365332,3796.827311976813,0.45446088910102844,1.2118551648467593,1,0,1,0,pseudo_absence
119.90435009227417,-2.3526885498385894,,,1217,14.948647499084473,14.047616958618164,14.28914984543934,2934.501925094542,0.3962346017360687,0.24656593596007736,0,0,1,1,
121.03272392065668,-2.6132898137616607,,,9,2.7802884578704834,180.0,23.369370388365013,4157.968795776838,0.803597092628479,0.16424970317854326,1,0,0,0,pseudo_absence
120.69181327033334,-2.4766560590470874,,,754,19.637990951538086,92.60013580322266,13.30594626435672,3509.8293661700563,0.8633269667625427,0.7960911093084844,0,0,0,1,
120.19621272808462,-3.1344923416078103,,,246,10.261628150939941,153.40061950683594,15.593934540321605,2923.9321753775703,0.7313527464866638,0.5167471873242832,1,0,0,1,
120.17195821541338,-3.370300103689182,,,359,24.641695022583008,121.96082305908203,13.054777464122756,2993.252502464317,0.8518334031105042,0.5337793638431854,1,0,0,1,
120.91333781939721,-2.4359623766764713,,,74,11.18409538269043,124.96768951416016,15.505811207484866,3917.2771620969115,0.8359091877937317,1.3686881363355108,1,0,0,1,
120.30993944305413,-2.8833233881679945,,,15,3.704791784286499,180.0,15.705806160294546,3696.0171533105895,0.8141795992851257,0.6929280654006245,1,0,0,0,pseudo_absence
120.43417644684786,-2.816758225614734,,,5,1.3122342824935913,45.034629821777344,16.051774962039374,3742.384264701468,0.5860245823860168,0.7897623092350536,1,0,1,0,pseudo_absence
120.25092012888751,-3.41368873191216,,,309,24.645572662353516,137.81178283691406,14.66403680524531,2869.3698498131707,0.8432087302207947,0.5523970842891928,1,0,0,1,
120.10647103120107,-3.327180970051444,,,1081,26.75601577758789,185.5368194580078,13.653436764901247,3026.4683702490292,0.5423521995544434,0.48590248373913447,0,0,1,1,
120.35683150088516,-3.4309363853672536,,,19,2.9309515953063965,341.5342102050781,15.247481123695492,2871.1783771593123,0.8313868641853333,0.5840775486274543,1,0,0,0,pseudo_absence
120.51152139281055,-2.5925387306985,,,23,0.9274099469184875,180.0,17.092100497200796,3785.0450088927523,0.5139774680137634,0.31883263452815697,1,0,1,0,pseudo_absence
120.35063312542474,-3.3223300675172,,,11,0.9274099469184875,0.0,21.429391238033286,3070.7274140120485,0.5948196649551392,0.06778269314450602,1,0,1,0,pseudo_absence
120.80661796364382,-2.252975553301326,,,1313,16.76552963256836,53.76729202270508,13.475230869253771,3442.0959183013338,0.7673540711402893,0.6140201639558265,0,0,0,1,
121.05024106869706,-2.341639271843917,,,1134,13.049703598022461,347.89544677734375,14.836023955730854,3555.1889985110697,0.8511216640472412,0.6441629877711388,0,0,0,1,
120.3366194069925,-3.2150712225933304,,,15,3.704791784286499,180.0,15.012658979734601,3050.8229377781972,0.4975564181804657,0.5241337678871386,1,0,1,0,pseudo_absence
120.2441827642566,-2.872274110173322,,,6,2.0751121044158936,116.5362548828125,16.69184081286101,3632.447407325916,0.5018259286880493,1.0656227706428778,1,0,1,0,pseudo_absence
120.56137789107919,-2.724860572049309,,,0,0.0,0.0,19.876356567714552,3983.7018199497834,-0.20821505784988403,3.4476812613027663,1,0,1,0,pseudo_absence
120.29754269213328,-2.832388911558418,,,10,4.1416521072387695,153.40692138671875,14.9008424490803,3791.240696922317,0.8665098547935486,1.254636535094799,1,0,0,0,pseudo_absence
120.08059955101845,-3.285678803925123,,,841,41.75486373901367,4.16646671295166,12.388973766336557,3052.120742929727,0.7855563759803772,0.2890423075288149,0,1,0,1,
120.6597434146903,-2.357808946958073,,,1979,10.260319709777832,206.58447265625,13.984626912033649,3430.1681424609387,0.7151434421539307,1.4966006562370202,0,0,0,1,
120.1202152550481,-2.2114733871750047,,,2194,23.035051345825195,252.26771545410156,13.13065681573479,2778.9144109072163,0.7866021990776062,0.6486962866533709,0,0,0,1,
121.48870875887576,-2.5704401747091623,,,327,18.447832107543945,119.03012084960938,15.319227251375342,3811.7459335911662,0.49295774102211,0.5823694608063941,1,0,1,1,
120.34551272830527,-3.191894688263048,,,13,2.073671817779541,153.39935302734375,15.59392344883101,3117.3468639561906,0.6581283807754517,1.6078417522089734,1,0,1,0,pseudo_absence
120.20025514686313,-2.755043965595725,,,16,3.704791784286499,180.0,15.705806160294546,3926.83447714746,0.7175596952438354,1.5865372511848392,1,0,0,0,pseudo_absence
121.13567085221678,-2.6828194167525155,,,31,4.982847690582275,201.82308959960938,14.71515396950733,3967.8634401186964,0.8547152280807495,0.8970066692202034,1,0,0,0,pseudo_absence
120.22127572451154,-2.4831239290927414,,,947,21.9125919342041,40.12742614746094,15.13203896068135,3400.657776481251,0.6621614694595337,0.9919258002313687,0,0,1,1,
120.35440604961804,-2.4618338568591156,,,249,14.948715209960938,194.04869079589844,13.595997923048264,3559.228647259297,0.8616369962692261,0.6586529222253579,1,0,0,1,
120.05472807083578,-2.898415084941199,,,1064,29.237380981445312,292.0838928222656,12.855741238658643,3423.8076587022283,0.43632152676582336,0.9076446966899748,0,1,1,1,
120.83329792758218,-2.284506419773919,,,1461,11.149256706237793,279.4549255371094,14.592720784201381,3442.0959183013338,0.7724810242652893,1.4187860454132541,0,0,0,1,
120.29915965964472,-3.2490275403330457,,,21,3.3440418243408203,56.352455139160156,17.513259767030906,3092.994609139115,0.5780788064002991,0.31666340611209864,1,0,1,0,pseudo_absence
120.5578744614711,-2.720009669515065,,,3,2.0734951496124268,333.40911865234375,15.594008722718963,3983.7018199497834,0.11927130818367004,2.953456353235425,1,0,1,0,pseudo_absence
120.34955514708383,-3.239056240679325,,,13,0.0,0.0,19.876356567714552,3050.8229377781972,0.5206723809242249,0.5668702096744539,1,0,1,0,pseudo_absence
120.83141146548553,-2.6035880086931726,,,16,2.074740171432495,116.54138946533203,15.59340793220359,4060.2559655754726,0.40408164262771606,0.8868936548364036,1,0,1,0,pseudo_absence
120.4066879991538,-2.7779510053407748,,,10,4.144526481628418,63.461891174316406,16.50958416152475,3849.029904561024,0.5214677453041077,1.0409398966360521,1,0,1,0,pseudo_absence
120.4037235587162,-2.3502630985714674,,,986,25.881275177001953,205.7288055419922,14.608147730385353,3295.9576830632986,0.7350199818611145,0.5130889351978334,0,0,0,1,
120.38000803521544,-2.6273035321939275,,,24,2.0747714042663574,63.459041595458984,15.593392865296117,3844.6473965722134,0.5820072293281555,0.7900213101598106,1,0,1,0,pseudo_absence
120.29942915422993,-2.8547569621329885,,,14,2.073542594909668,26.593521118164062,15.593985821191913,3652.6578652781436,0.6759781241416931,0.29547038918935925,1,0,1,0,pseudo_absence
119.9474692259119,-2.5254345789747745,,,1984,14.632293701171875,209.7688751220703,13.618373123168917,3150.235199677013,0.6896012425422668,1.687247803474552,0,0,0,1,
121.15049305440476,-2.725669055805014,,,431,28.948888778686523,264.9632263183594,13.560739150232399,3795.6016893879887,0.778121292591095,0.7544498741762359,1,1,0,1,
121.17151363205318,-2.3893398134306665,,,1120,11.039454460144043,94.759521484375,15.519160508983202,3637.541019236206,0.754371702671051,1.2604932581134303,0,0,0,1,
119.89599576013188,-2.494173207087414,,,2071,30.846294403076172,40.62812805175781,14.177226089756822,2911.7622153226284,0.8273267149925232,0.7192474184373687,0,1,0,1,
120.24687771010895,-3.067118695298845,,,7,0.9274099469184875,0.0,16.398953316640853,3204.853775365185,0.07990820705890656,1.1907278357493996,1,0,1,0,pseudo_absence
120.05957897337004,-1.996147213571554,,,2165,27.938989639282227,31.27916145324707,12.909682915013661,2434.009862651676,0.8228775262832642,1.8900918210866027,0,1,0,1,
120.37138420848794,-3.39078169216711,,,7,0.9274099469184875,180.0,16.398953316640853,2980.792135795765,0.7442078590393066,0.5195251108798017,1,0,0,0,pseudo_absence
120.47028872126947,-2.637544326432888,,,17,3.341414451599121,213.7180938720703,15.116152277201268,3866.766058436688,0.6963803172111511,0.2926555511599283,1,0,0,0,pseudo_absence
120.86240334278767,-2.5302854815090186,,,22,3.821976661682129,104.02310180664062,14.981428558252079,4160.5692964422315,0.3129265010356903,1.5722749164187906,1,0,1,0,pseudo_absence
120.18300749340807,-2.8814369260713377,,,21,4.141687393188477,333.40594482421875,16.510271812023387,3537.5950529997235,0.7852948904037476,0.20376861114610814,1,0,0,0,pseudo_absence
120.2555015368365,-2.816758225614734,,,12,0.9274099469184875,180.0,16.398953316640853,3791.240696922317,0.8386095762252808,0.7517645967345101,1,0,0,0,pseudo_absence
120.37785207853358,-3.4595028114022526,,,8,0.9291026592254639,270.0,18.343039606267535,2843.3299242255744,0.7010515928268433,1.0274800701886762,1,0,0,0,pseudo_absence
120.56407283693153,-2.3772125570950564,,,2357,21.3150634765625,274.7595520019531,14.826022186145176,3203.9755680586445,0.8210839033126831,0.9044895692085604,0,0,0,1,
120.36356886551607,-3.580775374758389,,,43,4.147100448608398,116.5202865600586,16.978964759025292,2794.9570030095056,0.6580836176872253,1.2426200533558873,1,0,1,0,pseudo_absence
